epoch,train_loss,train_va,train_expr,ccc_v,ccc_a,ccc_mean,rmse_v,rmse_a,mae_v,mae_a
1,1.0820751623600584,1.0820751623600584,0.0,0.7168105244636536,0.2906416058540344,0.503726065158844,0.5082712173461914,0.35889503359794617,0.38563403487205505,0.29362642765045166
2,0.9986283099968227,0.9986283099968227,0.0,0.7291192412376404,0.29504111409187317,0.5120801776647568,0.49767038226127625,0.3422723114490509,0.36594700813293457,0.2822030484676361
3,0.9586825083633284,0.9586825083633284,0.0,0.7424120306968689,0.2989121973514557,0.5206621140241623,0.4866062104701996,0.3520231544971466,0.3542364239692688,0.28983157873153687
4,0.9319935567897558,0.9319935567897558,0.0,0.752203106880188,0.3054451048374176,0.5288241058588028,0.4636751413345337,0.34531599283218384,0.337107390165329,0.28498339653015137
5,0.9093481938926894,0.9093481938926894,0.0,0.7574876546859741,0.307770699262619,0.5326291769742966,0.46789711713790894,0.34489884972572327,0.3360137939453125,0.28499916195869446
6,0.8909107321526514,0.8909107321526514,0.0,0.754378080368042,0.30152732133865356,0.5279527008533478,0.47487765550613403,0.36725714802742004,0.34599339962005615,0.301053911447525
7,0.8811894220572347,0.8811894220572347,0.0,0.7600054144859314,0.3059161603450775,0.5329607874155045,0.45931676030158997,0.3424462676048279,0.3220687806606293,0.28399989008903503
8,0.8649697017298835,0.8649697017298835,0.0,0.7598503828048706,0.3080524504184723,0.5339514166116714,0.46529507637023926,0.34541141986846924,0.33965003490448,0.28634408116340637
9,0.8470253318459833,0.8470253318459833,0.0,0.7624861001968384,0.306272029876709,0.5343790650367737,0.45921382308006287,0.3475210666656494,0.32859277725219727,0.2879598140716553
10,0.8254929343545151,0.8254929343545151,0.0,0.7617244124412537,0.2968396246433258,0.5292820185422897,0.45593157410621643,0.3468981087207794,0.3172416090965271,0.28793713450431824
